intent,f1_zero_shot,f1_few_shot,delta
activate_card,0.6154,0.8889,0.2735000000000001
apply_for_loan,0.75,0.8889,0.13890000000000002
set_up_password,0.6667,0.8889,0.22220000000000006
make_transfer,1.0,0.8889,-0.11109999999999998
cancel_loan,0.9091,0.8,-0.10909999999999997
cancel_card,0.2222,0.75,0.5278
find_atm,0.5714,0.75,0.17859999999999998
get_password,0.4444,0.75,0.3056
apply_for_mortgage,1.0,0.75,-0.25
block_card,0.8,0.6667,-0.13330000000000009
cancel_mortgage,1.0,0.6667,-0.33330000000000004
create_account,0.5,0.6154,0.11539999999999995
customer_service,0.381,0.6154,0.23439999999999994
human_agent,0.25,0.6,0.35
check_current_balance_on_card,0.5714,0.5714,0.0
check_recent_transactions,0.5,0.5,0.0
recover_swallowed_card,0.25,0.4615,0.21150000000000002
activate_card_international_usage,0.75,0.3333,-0.4167
check_card_annual_fee,0.7273,0.3333,-0.39399999999999996
cancel_transfer,0.8889,0.3333,-0.5556000000000001
check_loan_payments,0.5714,0.3333,-0.23810000000000003
check_fees,0.75,0.3333,-0.4167
close_account,0.4444,0.3333,-0.11110000000000003
find_branch,0.4286,0.2857,-0.14289999999999997
dispute_atm_withdrawal,0.3333,0.2857,-0.047599999999999976
check_mortgage_payments,0.0,0.0,0.0
